2.871093750000000000e+00,2.871093750000000000e+00,2.871093750000000000e+00,3.046875000000000000e+00,3.046875000000000000e+00,3.046875000000000000e+00
2.783203125000000000e+00,2.783203125000000000e+00,2.783203125000000000e+00,3.193359375000000000e+00,3.193359375000000000e+00,3.164062500000000000e+00
3.310546875000000000e+00,3.310546875000000000e+00,2.900390625000000000e+00,3.427734375000000000e+00,3.398437500000000000e+00,3.222656250000000000e+00
3.105468750000000000e+00,3.134765625000000000e+00,3.164062500000000000e+00,3.193400000000000016e+00,3.134799999999999809e+00,3.134799999999999809e+00
2.607421875000000000e+00,2.724609375000000000e+00,2.724609375000000000e+00,3.105468750000000000e+00,3.076171875000000000e+00,3.105468750000000000e+00
3.281250000000000000e+00,2.519531250000000000e+00,2.490000000000000213e+00,3.222656250000000000e+00,3.251953125000000000e+00,3.281250000000000000e+00
2.167968750000000000e+00,2.167968750000000000e+00,2.343750000000000000e+00,2.021484375000000000e+00,2.314453125000000000e+00,2.929687500000000000e+00
2.636718750000000000e+00,2.636718750000000000e+00,2.695312500000000000e+00,2.812500000000000000e+00,2.871093750000000000e+00,2.812500000000000000e+00
3.105468750000000000e+00,3.105468750000000000e+00,3.105468750000000000e+00,3.281250000000000000e+00,3.281250000000000000e+00,3.281250000000000000e+00
2.607421875000000000e+00,2.871093750000000000e+00,2.373046875000000000e+00,3.398437500000000000e+00,3.310546875000000000e+00,3.281250000000000000e+00
3.193359375000000000e+00,1.933593750000000000e+00,2.080078125000000000e+00,2.373046875000000000e+00,2.343750000000000000e+00,2.021484375000000000e+00
2.753906250000000000e+00,2.753906250000000000e+00,2.871093750000000000e+00,2.929687500000000000e+00,2.929687500000000000e+00,2.929687500000000000e+00
2.314453125000000000e+00,3.105468750000000000e+00,3.486328125000000000e+00,3.310546875000000000e+00,3.515625000000000000e+00,3.339843750000000000e+00
2.343750000000000000e+00,2.431640625000000000e+00,2.314453125000000000e+00,2.666015625000000000e+00,2.607421875000000000e+00,2.636718750000000000e+00
2.197265625000000000e+00,2.197265625000000000e+00,3.134765625000000000e+00,2.255999999999999783e+00,2.285156250000000000e+00,2.285156250000000000e+00
2.490234375000000000e+00,2.841796875000000000e+00,2.490234375000000000e+00,3.486328125000000000e+00,3.222656250000000000e+00,3.457031250000000000e+00
2.959200000000000053e+00,3.046899999999999942e+00,3.076200000000000045e+00,3.134765625000000000e+00,3.134765625000000000e+00,3.134765625000000000e+00
2.929687500000000000e+00,2.578125000000000000e+00,2.871093750000000000e+00,2.900390625000000000e+00,2.900390625000000000e+00,2.900390625000000000e+00
2.871093750000000000e+00,2.900390625000000000e+00,2.871093750000000000e+00,2.958984375000000000e+00,2.958984375000000000e+00,2.958984375000000000e+00
3.310546875000000000e+00,3.251953125000000000e+00,3.281250000000000000e+00,3.310546875000000000e+00,3.310546875000000000e+00,3.310546875000000000e+00
